Date,Open,High,Low,Close,Volume
2017-05-24,960.0,965.5,949.6,954.8,2818143.0
2017-05-25,961.0,986.6,961.0,983.3,5219257.0
2017-05-26,987.0,1000.0,980.6,995.7,2494002.0
2017-05-29,990.9,996.7,975.7,985.15,3154217.0
2017-05-30,982.0,1000.0,978.65,996.2,1858455.0
2017-05-31,993.55,993.55,974.85,977.05,3881950.0
2017-06-01,969.3,979.7,958.55,971.4,2754303.0
2017-06-02,973.4,975.45,964.2,969.45,1958983.0
2017-06-05,970.0,972.0,957.05,958.75,2731349.0
2017-06-06,965.0,987.5,964.4,979.35,3504343.0
2017-06-07,985.0,988.9,945.0,961.3,6227523.0
2017-06-08,962.95,962.95,948.15,956.45,3097676.0
2017-06-09,938.55,950.95,923.0,948.6,7378831.0
2017-06-12,943.35,965.2,940.1,963.85,4295838.0
2017-06-13,953.5,962.95,951.6,957.8,2468897.0
2017-06-14,960.0,961.9,951.2,958.6,3719055.0
2017-06-15,959.65,967.95,949.6,952.1,2764031.0
2017-06-16,949.1,953.85,936.0,940.25,5474225.0
2017-06-19,939.95,940.25,928.0,929.85,3427930.0
2017-06-20,935.0,946.9,934.05,943.55,2592198.0
2017-06-21,945.0,949.0,936.05,943.35,1867932.0
2017-06-22,947.7,968.7,935.1,940.15,4732621.0
2017-06-23,945.0,949.15,938.0,943.25,3201509.0
2017-06-26,945.0,948.575,930.875,935.15,3326919.5
2017-06-27,945.0,948.0,923.75,927.05,3452330.0
2017-06-28,932.8,933.0,921.0,924.7,2952612.0
2017-06-29,930.2,947.95,926.6,930.2,7957020.0
2017-06-30,930.8,938.0,929.0,935.55,2108350.0
2017-07-03,941.1,955.0,934.6,951.9,2544462.0
2017-07-04,953.85,970.0,949.4,962.15,2583863.0
2017-07-05,959.0,959.0,945.4,950.9,2113114.0
2017-07-06,945.0,957.0,944.2,947.0,1914860.0
2017-07-07,943.85,945.45,933.05,935.4,2888443.0
2017-07-10,945.0,1028.9,937.3,957.05,847546.0
2017-07-11,956.65,989.5,956.65,975.35,5769854.0
2017-07-12,974.95,981.5,968.75,972.35,3137988.0
2017-07-13,977.25,983.45,964.1,977.05,2585196.0
2017-07-14,999.45,1006.85,966.05,972.05,11239090.0
2017-07-17,975.0,992.0,974.0,984.05,3849125.0
2017-07-18,986.05,1004.8,981.1,985.6,4130090.0
2017-07-19,981.45,988.65,969.1,979.85,2945139.0
2017-07-20,979.3,979.85,966.95,969.45,3404870.0
2017-07-21,973.0,982.55,971.4,980.1,2990377.0
2017-07-24,983.5,994.0,982.6,990.55,3064588.0
2017-07-25,990.0,999.0,986.2,993.85,3572807.0
2017-07-26,998.1,999.0,990.4,994.05,3435012.0
2017-07-27,996.0,1004.0,966.8,971.05,6338426.0
2017-07-28,976.0,1003.0,962.3,997.35,5549214.0
2017-07-31,991.9,1021.7,986.75,1011.2,9579124.0
2017-08-01,1011.0,1017.0,998.35,1005.55,3844699.0
2017-08-02,1006.0,1012.75,987.2,993.35,2128792.0
2017-08-03,991.0,998.75,980.25,984.0,2320174.0
2017-08-04,988.0,989.0,976.05,983.75,2674509.0
2017-08-07,983.5,983.75,965.7,968.25,3036872.0
2017-08-08,968.5,970.25,955.05,963.85,3002324.0
2017-08-09,967.65,973.9,964.55,969.35,1961205.0
2017-08-10,969.9,987.5,969.35,981.25,4570342.0
2017-08-11,976.0,997.0,969.6,987.7,3272078.0
2017-08-14,988.0,989.2,977.15,981.45,1908235.0
2017-08-15,985.0,987.6500000000001,973.075,978.325,2498637.5
2017-08-16,982.0,986.1,969.0,975.2,3089040.0
2017-08-17,1005.0,1029.25,998.05,1020.85,12892130.0
2017-08-18,1017.9,1017.9,884.2,923.25,82202480.0
2017-08-21,924.0,924.0,870.0,873.4,45203588.0
2017-08-22,895.2,897.05,860.0,875.4,24621299.0
2017-08-23,880.0,903.7,873.9,892.8,30642095.0
2017-08-24,910.0,918.25,902.35,912.15,21190262.0
2017-08-25,926.975,936.1,920.175,926.575,20773158.0
2017-08-28,943.95,953.95,938.0,941.0,20356054.0
2017-08-29,941.45,942.0,925.55,927.45,6684696.0
2017-08-30,937.2,939.0,924.1,926.65,8074832.0
2017-08-31,928.8,928.95,912.9,914.95,7511226.0
2017-09-01,915.95,925.9,910.0,919.95,4216961.0
2017-09-04,921.0,921.1,893.5,900.2,5088554.0
2017-09-05,902.0,905.0,897.25,901.9,4891696.0
2017-09-06,900.0,900.3,890.0,895.6,3867955.0
2017-09-07,900.0,900.5,892.35,895.75,3120596.0
2017-09-08,899.0,899.0,882.1,884.3,4302271.0
2017-09-11,890.4,891.8,873.65,878.7,6893821.0
2017-09-12,882.55,887.75,878.8,884.05,8620677.0
2017-09-13,885.5,887.6,881.0,883.75,5739114.0
2017-09-14,884.5,896.6,881.6,892.4,6849003.0
2017-09-15,892.3,913.25,892.2,908.25,6729730.0
2017-09-18,910.0,917.75,906.3,909.1,4237930.0
2017-09-19,908.0,916.0,903.5,912.25,3016665.0
2017-09-20,917.0,917.0,907.45,912.7,2883915.0
2017-09-21,915.0,915.25,908.15,909.55,4102076.0
2017-09-22,908.15,910.25,888.0,898.3,8802044.0
2017-09-25,901.0,901.95,889.1,895.35,4544350.0
2017-09-26,897.0,908.4,894.3,905.9,3683239.0
2017-09-27,906.1,907.9,895.1,899.8,3000069.0
2017-09-28,896.1,903.9,894.3,896.0,8768633.0
2017-09-29,898.0,902.4,895.0,899.9,2852916.0
2017-10-02,904.05,907.2,898.3,901.7249999999999,2663338.5
2017-10-03,910.1,912.0,901.6,903.55,2473761.0
2017-10-04,903.0,905.4,897.15,899.6,2495746.0
2017-10-05,900.0,904.95,899.0,903.05,4305650.0
2017-10-06,904.0,922.0,903.95,920.15,4287154.0
2017-10-09,920.0,929.0,914.0,923.9,1752416.0
2017-10-10,939.95,939.95,929.55,935.45,3571610.0
2017-10-11,935.45,938.0,928.0,930.7,2991252.0
2017-10-12,930.0,934.35,919.55,927.3,5140486.0
2017-10-13,932.8,933.5,927.55,930.1,3590364.0
2017-10-16,935.95,942.0,933.0,939.0,2879375.0
2017-10-17,936.8,936.8,929.5,930.5,2812551.0
2017-10-18,928.9,930.0,922.95,924.35,3615926.0
2017-10-19,930.0,932.0,925.2,926.95,545717.0
2017-10-20,930.0,937.0,926.6500000000001,933.225,2561382.5
2017-10-23,930.0,942.0,928.1,939.5,4577048.0
2017-10-24,946.0,946.65,921.6,926.5,7264664.0
2017-10-25,919.0,944.7,915.25,935.3,6992067.0
2017-10-26,942.0,951.8,940.1,947.35,16829629.0
2017-10-27,955.0,957.7,944.0,946.35,4262478.0
2017-10-30,954.65,954.65,941.05,944.1,6484163.0
2017-10-31,925.0,930.0,920.0,921.85,4977494.0
2017-11-01,925.0,929.4,923.3,927.05,2816567.0
